BoletinMSP,Fecha,Rango edad,Total 
2,15/3/2020,<1 año,1
2,15/3/2020,1 - 4 años,1
2,15/3/2020,5 - 9 años,2
2,15/3/2020,10 - 14 años,0
2,15/3/2020,15 - 19 años,4
2,15/3/2020,20 - 49 años,19
2,15/3/2020,50 - 64 años,5
2,15/3/2020,> 65 años,7
3,16/3/2020,<1 año,1
3,16/3/2020,1 - 4 años,1
3,16/3/2020,5 - 9 años,3
3,16/3/2020,10 - 14 años,0
3,16/3/2020,15 - 19 años,3
3,16/3/2020,20 - 49 años,31
3,16/3/2020,50 - 64 años,10
3,16/3/2020,> 65 años,9
4,17/3/2020,<1 año,1
4,17/3/2020,1 - 4 años,3
4,17/3/2020,5 - 9 años,3
4,17/3/2020,10 - 14 años,1
4,17/3/2020,15 - 19 años,4
4,17/3/2020,20 - 49 años,60
4,17/3/2020,50 - 64 años,19
4,17/3/2020,> 65 años,20
8,19/3/2020,<1 año,2
8,19/3/2020,1 - 4 años,1
8,19/3/2020,5 - 9 años,5
8,19/3/2020,10 - 14 años,6
8,19/3/2020,15 - 19 años,8
8,19/3/2020,20 - 49 años,157
8,19/3/2020,50 - 64 años,46
8,19/3/2020,> 65 años,35
9,20/3/2020,<1 año,2
9,20/3/2020,1 - 4 años,2
9,20/3/2020,5 - 9 años,7
9,20/3/2020,10 - 14 años,9
9,20/3/2020,15 - 19 años,9
9,20/3/2020,20 - 49 años,220
9,20/3/2020,50 - 64 años,74
9,20/3/2020,> 65 años,44
12,21/3/2020,<1 año,3
12,21/3/2020,1 - 4 años,3
12,21/3/2020,5 - 9 años,9
12,21/3/2020,10 - 14 años,10
12,21/3/2020,15 - 19 años,12
12,21/3/2020,20 - 49 años,320
12,21/3/2020,50 - 64 años,112
12,21/3/2020,> 65 años,63
13,22/3/2020,<1 año,3
13,22/3/2020,1 - 4 años,4
13,22/3/2020,5 - 9 años,9
13,22/3/2020,10 - 14 años,14
13,22/3/2020,15 - 19 años,17
13,22/3/2020,20 - 49 años,480
