BoletinMSP,Fecha,rango edad,Fallecido,Vivo,probable fallecido,probable vivo
2,15/3/2020,<1 año,0,1,0,0
2,15/3/2020,1 - 4 años,0,1,0,0
2,15/3/2020,5 - 9 años,0,2,0,0
2,15/3/2020,10 - 14 años,0,0,0,0
2,15/3/2020,15 - 19 años,0,2,0,0
2,15/3/2020,20 - 49 años,0,19,0,0
2,15/3/2020,50 - 64 años,1,4,0,0
2,15/3/2020,> 65 años,1,6,0,0
3,16/3/2020,<1 año,0,1,0,0
3,16/3/2020,1 - 4 años,0,1,0,0
3,16/3/2020,5 - 9 años,0,3,0,0
3,16/3/2020,10 - 14 años,0,0,0,0
3,16/3/2020,15 - 19 años,0,3,0,0
3,16/3/2020,20 - 49 años,0,31,0,0
3,16/3/2020,50 - 64 años,1,9,0,0
3,16/3/2020,> 65 años,1,8,0,0
4,17/3/2020,<1 año,0,1,0,0
4,17/3/2020,1 - 4 años,0,1,0,0
4,17/3/2020,5 - 9 años,0,3,0,0
4,17/3/2020,10 - 14 años,0,3,0,0
4,17/3/2020,15 - 19 años,0,5,0,0
4,17/3/2020,20 - 49 años,0,90,0,0
4,17/3/2020,50 - 64 años,4,20,0,0
4,17/3/2020,> 65 años,1,19,0,0
8,19/3/2020,<1 año,0,2,0,0
8,19/3/2020,1 - 4 años,0,1,0,0
8,19/3/2020,5 - 9 años,0,5,0,0
8,19/3/2020,10 - 14 años,0,6,0,0
8,19/3/2020,15 - 19 años,0,8,0,0
8,19/3/2020,20 - 49 años,0,157,0,0
8,19/3/2020,50 - 64 años,3,43,0,0
8,19/3/2020,> 65 años,1,34,0,0
9,20/3/2020,<1 año,0,2,0,0
9,20/3/2020,1 - 4 años,0,2,0,0
9,20/3/2020,5 - 9 años,0,7,0,0
9,20/3/2020,10 - 14 años,0,9,0,0
9,20/3/2020,15 - 19 años,0,9,0,0
9,20/3/2020,20 - 49 años,0,220,0,0
9,20/3/2020,50 - 64 años,4,70,0,0
9,20/3/2020,> 65 años,1,43,0,0
12,21/3/2020,<1 año,0,3,0,0
12,21/3/2020,1 - 4 años,0,3,0,0
12,21/3/2020,5 - 9 años,0,9,0,0
12,21/3/2020,10 - 14 años,0,10,0,0
12,21/3/2020,15 - 19 años,0,12,0,0
12,21/3/2020,20 - 49 años,1,319,0,0
12,21/3/2020,50 - 64 años,5,107,0,0
12,21/3/2020,> 65 años,1,62,0,0
13,22/3/2020,<1 año,0,3,0,0
13,22/3/2020,1 - 4 años,0,4,0,0
13,22/3/2020,5 - 9 años,0,9,0,0
13,22/3/2020,10 - 14 años,0,13,0,0
13,22/3/2020,15 - 19 años,0,17,0,0
13,22/3/2020,20 - 49 años,1,479,0,0
13,22/3/2020,50 - 64 años,8,167,0,0
13,22/3/2020,> 65 años,5,83,0,0
15,23/3/2020,<1 año,0,3,0,0
15,23/3/2020,1 - 4 años,0,5,0,0
15,23/3/2020,5 - 9 años,0,11,0,0
15,23/3/2020,10 - 14 años,0,13,0,0
15,23/3/2020,15 - 19 años,0,19,0,0
15,23/3/2020,20 - 49 años,3,601,0,0
15,23/3/2020,50 - 64 años,9,209,0,0
15,23/3/2020,> 65 años,6,102,0,0
19,25/3/2020,<1 año,0,3,0,0
19,25/3/2020,1 - 4 años,0,6,0,0
19,25/3/2020,5 - 9 años,0,14,0,0
19,25/3/2020,10 - 14 años,0,15,0,0
19,25/3/2020,15 - 19 años,0,27,0,0
19,25/3/2020,20 - 49 años,6,728,0,0
19,25/3/2020,50 - 64 años,13,267,0,0
19,25/3/2020,> 65 años,10,122,0,0
21,26/3/2020,<1 año,0,4,0,0
21,26/3/2020,1 - 4 años,0,7,0,0
21,26/3/2020,5 - 9 años,0,16,0,0
21,26/3/2020,10 - 14 años,0,16,0,0
21,26/3/2020,15 - 19 años,0,29,0,0
21,26/3/2020,20 - 49 años,7,848,0,0
21,26/3/2020,50 - 64 años,15,309,0,0
21,29/3/2020,> 65 años,12,140,0,0
27,29/3/2020,<1 año,1,3,0,0
27,29/3/2020,1 - 4 años,0,8,0,0
27,29/3/2020,5 - 9 años,0,18,0,0
27,29/3/2020,10 - 14 años,0,19,0,0
27,29/3/2020,15 - 19 años,0,30,0,0
27,29/3/2020,20 - 49 años,10,1174,9,0
27,29/3/2020,50 - 64 años,22,444,11,0
27,29/3/2020,> 65 años,25,170,12,0
30,30/3/2020,<1 año,1,3,0,0
30,30/3/2020,1 - 4 años,0,10,0,0
30,30/3/2020,5 - 9 años,0,19,0,0
30,30/3/2020,10 - 14 años,0,20,0,0
30,30/3/2020,15 - 19 años,0,35,11,0
30,30/3/2020,20 - 49 años,11,1369,17,0
30,30/3/2020,50 - 64 años,27,505,33,1
30,30/3/2020,> 65 años,36,204,61,2
31,31/3/2020,<1 año,1,3,0,0
31,31/3/2020,1 - 4 años,0,11,0,0
31,31/3/2020,5 - 9 años,0,19,0,0
31,31/3/2020,10 - 14 años,0,21,0,0
31,31/3/2020,15 - 19 años,0,35,0,0
31,31/3/2020,20 - 49 años,11,1048,11,0
31,31/3/2020,50 - 64 años,28,522,20,1
31,31/3/2020,> 65 años,39,204,36,2
