BoletinMSP,Fecha,Rango edad,Masculino,Femenino
2,15/3/2020,<1 año,1,0
2,15/3/2020,1 - 4 años,1,0
2,15/3/2020,5 - 9 años,2,0
2,15/3/2020,10 - 14 años,0,0
2,15/3/2020,15 - 19 años,2,2
2,15/3/2020,20 - 49 años,11,8
2,15/3/2020,50 - 64 años,1,4
2,15/3/2020,> 65 años,2,5
3,16/3/2020,<1 año,1,0
3,16/3/2020,1 - 4 años,1,0
3,16/3/2020,5 - 9 años,3,0
3,16/3/2020,10 - 14 años,0,0
3,16/3/2020,15 - 19 años,0,3
3,16/3/2020,20 - 49 años,20,11
3,16/3/2020,50 - 64 años,4,6
3,16/3/2020,> 65 años,3,6
4,17/3/2020,<1 año,1,0
4,17/3/2020,1 - 4 años,3,0
4,17/3/2020,5 - 9 años,3,0
4,17/3/2020,10 - 14 años,1,0
4,17/3/2020,15 - 19 años,1,3
4,17/3/2020,20 - 49 años,38,22
4,17/3/2020,50 - 64 años,9,10
4,17/3/2020,> 65 años,7,13
8,19/3/2020,<1 año,1,1
8,19/3/2020,1 - 4 años,1,0
8,19/3/2020,5 - 9 años,4,1
8,19/3/2020,10 - 14 años,3,3
8,19/3/2020,15 - 19 años,2,6
8,19/3/2020,20 - 49 años,83,74
8,19/3/2020,50 - 64 años,24,22
8,19/3/2020,> 65 años,13,22
9,20/3/2020,<1 año,1,1
9,20/3/2020,1 - 4 años,2,0
9,20/3/2020,5 - 9 años,5,2
9,20/3/2020,10 - 14 años,5,4
9,20/3/2020,15 - 19 años,2,7
9,20/3/2020,20 - 49 años,122,98
9,20/3/2020,50 - 64 años,36,38
9,20/3/2020,> 65 años,20,24
12,21/3/2020,<1 año,1,2
12,21/3/2020,1 - 4 años,3,0
12,21/3/2020,5 - 9 años,7,2
12,21/3/2020,10 - 14 años,6,4
12,21/3/2020,15 - 19 años,3,9
12,21/3/2020,20 - 49 años,180,140
12,21/3/2020,50 - 64 años,56,56
12,21/3/2020,> 65 años,27,36
13,22/3/2020,<1 año,1,2
13,22/3/2020,1 - 4 años,4,0
13,22/3/2020,5 - 9 años,7,2
13,22/3/2020,10 - 14 años,8,6
13,22/3/2020,15 - 19 años,5,12
13,22/3/2020,20 - 49 años,256,224
13,22/3/2020,50 - 64 años,92,83
13,22/3/2020,> 65 años,46,42
15,23/3/2020,<1 año,1,2
15,23/3/2020,1 - 4 años,1,4
15,23/3/2020,5 - 9 años,7,4
15,23/3/2020,10 - 14 años,8,5
15,23/3/2020,15 - 19 años,6,13
15,23/3/2020,20 - 49 años,328,276
15,23/3/2020,50 - 64 años,117,101
15,23/3/2020,> 65 años,58,50
19,25/3/2020,<1 año,1,2
19,25/3/2020,1 - 4 años,1,5
19,25/3/2020,5 - 9 años,8,6
19,25/3/2020,10 - 14 años,10,5
19,25/3/2020,15 - 19 años,12,15
19,25/3/2020,20 - 49 años,389,345
19,25/3/2020,50 - 64 años,155,125
19,25/3/2020,> 65 años,69,63
21,26/3/2020,<1 año,1,3
21,26/3/2020,1 - 4 años,1,6
21,26/3/2020,5 - 9 años,8,8
21,26/3/2020,10 - 14 años,10,6
21,26/3/2020,15 - 19 años,14,15
21,26/3/2020,20 - 49 años,459,396
21,26/3/2020,50 - 64 años,182,142
21,26/3/2020,> 65 años,82,70
