infografia,fecha,muestras tomadas,fallecidos,Alta hospitalaria,estables aislamiento domiliciario,hosp est,hosp pron res
2,13/3/2020,129,1,NaN,21,NaN,1
3,14/3/2020,206,2,NaN,26,7,3
5,15/3/2020,273,2,NaN,26,7,2
7,16/3/2020,354,2,NaN,42,9,5
9,17/3/2020,762,2,NaN,95,9,5
11,18/3/2020,762,3,NaN,149,10,6
13,19/3/2020,1153,4,3,236,12,5
15,20/3/2020,1670,7,3,399,10,7
17,21/3/2020,2051,7,3,502,5,15
18,22/3/2020,2360,14,3,701,54,17
19,23/3/2020,2780,18,3,824,95,41
21,24/3/2020,3618,27,3,919,78,55
23,25/3/2020,4290,29,3,1028,87,64
25,26/3/2020,5090,34,3,1214,71,81
27,27/3/2020,5915,41,3,1376,113,94
29,28/3/2020,6615,48,3,1553,121,110
31,29/3/2020,6992,58,3,1562,191,110
33,30/3/2020,7451,62,54,1544,206,100
35,31/3/2020,8251,75,58,1857,208,100
37,1/4/2020,9019,98,58,2301,191,110
38,2/4/2020,9604,120,65,2753,103,122
39,3/4/2020,10317,145,71,2912,112,128
40,4/4/2020,11309,172,100,2666,388,172
41,5/4/2020,12386,180,100,2687,521,158
42,6/4/2020,13039,191,100,3066,234,156
43,7/4/2020,14406,220,140,3333,156,146
44,8/4/2020,15526,242,140,3744,178,146
45,9/4/2020,19102,272,339,4019,196,139
46,10/4/2020,21568,297,368,6102,223,171
47,11/4/2020,22649,315,411,6123,224,184
48,12/4/2020,23635,333,501,6267,196,169
49,13/4/2020,24553,355,597,6256,200,121
50,14/4/2020,25347,369,696,6212,197,129
51,15/4/2020,26093,388,780,6335,220,135
52,16/4/2020,27868,403,838,6617,199,168
53,17/4/2020,29596,421,922,6732,234,141
54,18/4/2020,30922,456,1008,7204,220,134
55,19/4/2020,31809,474,1061,7564,245,124
56,20/4/2020,32453,507,1150,8091,256,124
57,21/4/2020,33389,520,1207,8233,301,137
58,22/4/2020,34840,537,1262,8591,319,141
59,23/4/2020,34420,560,1328,8876,273,146
